Using flat default model
using kernel fermionic in domain frequency with ph symmetry
The high frequency limit is not 1!: 2.30495 Check norm?
Kernel is set up
# 0	4108.32
# 1	1668.62
# 2	513.561
# 3	126.175
# 4	25.6169
# 5	4.3795
# 6	0.635099
# 7	0.0784661
minimal chi2: 0.098459
WARNING: Redefinition of parameter NORM: Input (and output) data are assumed to be normalized to NORM.
alpha it: 0	Q = 0.5chi^2-\alpha*entropy: 527.241	norm: 1.16962	
alpha it: 36	Q = 0.5chi^2-\alpha*entropy: 64.9523	norm: 1.07993	
alpha it: 37	Q = 0.5chi^2-\alpha*entropy: 62.7942	norm: 1.07421	
alpha it: 38	Q = 0.5chi^2-\alpha*entropy: 60.944	norm: 1.0688	
alpha it: 39	Q = 0.5chi^2-\alpha*entropy: 59.3668	norm: 1.0637	
alpha it: 40	Q = 0.5chi^2-\alpha*entropy: 58.029	norm: 1.05891	
alpha it: 41	Q = 0.5chi^2-\alpha*entropy: 56.8992	norm: 1.05441	
alpha it: 42	Q = 0.5chi^2-\alpha*entropy: 55.9485	norm: 1.05021	
alpha it: 43	Q = 0.5chi^2-\alpha*entropy: 55.1507	norm: 1.04629	
alpha it: 44	Q = 0.5chi^2-\alpha*entropy: 54.4826	norm: 1.04263	
alpha it: 45	Q = 0.5chi^2-\alpha*entropy: 53.9235	norm: 1.03923	
alpha it: 46	Q = 0.5chi^2-\alpha*entropy: 53.4556	norm: 1.03606	
alpha it: 47	Q = 0.5chi^2-\alpha*entropy: 53.0636	norm: 1.0331	
alpha it: 48	Q = 0.5chi^2-\alpha*entropy: 52.7344	norm: 1.03035	
alpha it: 49	Q = 0.5chi^2-\alpha*entropy: 52.457	norm: 1.02779	
alpha it: 50	Q = 0.5chi^2-\alpha*entropy: 52.2225	norm: 1.02541	
alpha it: 51	Q = 0.5chi^2-\alpha*entropy: 52.0232	norm: 1.02319	
alpha it: 52	Q = 0.5chi^2-\alpha*entropy: 51.8531	norm: 1.02112	
alpha it: 53	Q = 0.5chi^2-\alpha*entropy: 51.7072	norm: 1.01919	
alpha it: 54	Q = 0.5chi^2-\alpha*entropy: 51.5814	norm: 1.01739	
alpha it: 55	Q = 0.5chi^2-\alpha*entropy: 51.4727	norm: 1.01571	
alpha it: 56	Q = 0.5chi^2-\alpha*entropy: 51.3782	norm: 1.01415	
alpha it: 57	Q = 0.5chi^2-\alpha*entropy: 51.2961	norm: 1.01269	
alpha it: 58	Q = 0.5chi^2-\alpha*entropy: 51.2245	norm: 1.01133	
alpha it: 59	Q = 0.5chi^2-\alpha*entropy: 51.162	norm: 1.01006	
Ng: 5.10747
chi2 max: 105.411
posterior probability of the default model: 1.33065e-33
